Nx,Ny,Nxy,Mx,My,Mxy,max_stress_fi,tsai_hill_fi,tsai_wu_fi,hashin_fi,hashin_mode,failed,hashin_ply,hashin_surface
25579.502661009064,-62506.58753184406,-26542.3200781301,14844.746951905354,2953.3770725179675,-16446.432952582116,600.6280451808574,384277.8853091727,119051.74803091004,361312.71769758774,matrix_tension,True,7,top
-11854.714595003916,7177.569080771455,69228.90258168588,-120752.91637932765,-11143.033186130546,8304.334272917877,871.2987176320302,825340.7671075138,480558.7823187749,824495.6553254558,matrix_tension,True,2,bottom
-20663.147617405688,-97601.44758268738,18223.05292185398,95969.59693117766,-85219.58058708983,47993.29378182204,5742.092801204873,34959858.74922131,9562979.959189018,34045514.65653025,matrix_tension,True,1,bottom
-4190.475273820066,-71947.69247536553,-22854.386809855147,88835.9207965124,39814.56877706457,118374.01363044207,2144.933313636724,7012630.410758031,2897105.5498457323,4636193.960093611,matrix_tension,True,2,bottom
32375.786332823598,128587.94016544978,32368.89067901332,61051.199192461056,-21867.476935462815,4906.71482189645,1500.2749652960413,2508215.5755445445,724088.7419994026,2269326.7353994353,matrix_tension,True,1,bottom
162585.41341782562,-193591.4428262068,128537.61001246402,-31323.347034440852,192432.07801647877,123365.32626257482,7992.653602910895,66658124.9993412,17601019.250365075,65360825.28147457,matrix_tension,True,8,top
109184.92797029439,-234878.27939478765,-10003.46269365505,-175109.40438392098,-77436.10711126983,225792.3948856006,9161.015422968616,88111813.3133185,29006172.75503616,84543876.82982919,matrix_tension,True,2,bottom
-106474.12932779394,-154428.35161102883,4993.980307368299,-185329.1506332701,-102240.6147603631,47531.10676980761,5393.335401072056,30888509.83435377,9016383.764863888,30529826.18426012,matrix_tension,True,1,bottom
63427.69809244291,-238732.61667282562,31712.38962901742,7505.277426346959,43123.800144723224,168395.1176595839,3738.6309931913584,18182781.33565118,6366580.909770245,13977790.416622533,matrix_tension,True,2,bottom
-92215.92923117006,92185.17999171773,-246738.88019733006,230257.5271326024,57465.99644157934,132072.53688563456,1896.112290777713,6578292.693424538,4117656.1958772866,3844081.3724912787,fiber_tension,True,8,top
80787.49154852028,106073.95963179793,23119.280591702012,23270.465826077598,26838.69092215074,-85709.7694804789,3291.300306852159,11573629.013933524,4064675.9291653875,11002665.696835851,matrix_tension,True,7,top
-20199.787251708625,50775.936965051784,132414.77670190233,-140190.4578321889,-16555.952595309853,196201.08848456212,6560.904942815163,46823649.16039385,14423337.10871382,43091561.15479614,matrix_tension,True,2,bottom
-197456.7172152698,48582.20209341232,202772.30072657167,2743.8751891572997,319139.1790551973,205752.17217374584,12996.54818706424,175314951.2674342,45959365.99389096,172965057.39294627,matrix_tension,True,8,top
2505.6439203073064,10525.349498760777,-927.7149068089504,-9059.671455949732,7254.232959958101,-2069.658264579133,456.5425995690938,219501.41714949813,58638.194518559685,211604.6482621906,matrix_tension,True,8,top
198222.88120858782,-242529.37006899895,-189458.20112586592,-242380.78753343452,-120206.10221581745,66546.5153330317,6425.122958202476,44497995.83175763,13538924.74389496,43804979.460391894,matrix_tension,True,1,bottom
6129.762169975551,-31345.37904035128,-51254.8247867975,1205.9561712869286,-10467.409190122964,10192.503446167968,736.1015189689467,583269.7563295171,170952.32299884944,581319.9448240765,matrix_tension,True,1,bottom
44701.757760211294,245796.68006889286,74117.80367862205,171401.75498888275,-227863.1885376862,-58079.15754702778,11634.181496082008,140006235.92383665,35463073.93374884,135367111.30236644,matrix_tension,True,1,bottom
184028.0591621778,-88308.23780962297,116887.34936647762,-59622.30244516227,-26362.347646871898,186044.4627032605,6309.115333016468,43392130.816894844,14162889.08628688,40102897.50595252,matrix_tension,True,2,bottom
-155920.03539545412,-178254.7877246967,-280651.9662062299,-81571.36348102192,90130.54705581364,-34261.53628742204,5689.263047258127,33884442.23769157,8983369.817493113,33083486.786479507,matrix_tension,True,8,top
39982.53769669945,48736.14406037487,-2537.886225485227,49686.86145683418,3381.7466252938393,-30738.861753907884,1124.7859111103917,1347268.4335150681,414362.61786063225,1267413.5544693354,matrix_tension,True,7,top
-18502.788447459927,-11099.322893557784,-4474.261177540876,10042.68620660398,21505.069197972483,-17273.61126049087,1391.8278935576652,2063330.379515212,592318.4814446792,2063485.1395757757,matrix_tension,True,8,top
-42790.11695599216,19520.8901514097,-5390.65473663568,-75292.03859171405,38174.204225601046,-24879.34462479712,2774.48224207875,8357506.638852962,2371375.2383579407,7952581.960205505,matrix_tension,True,8,top
-355519.7245640542,-217443.40826901436,142204.39235659136,-62893.14728807594,109226.97933933075,120280.50272620542,3831.3194138643867,17876588.356893487,6403921.465310277,16910913.850237306,matrix_tension,True,8,top
-39972.19047809179,-172215.9480922916,124448.48664432339,-38654.73655482749,129972.29143518055,44705.490447697965,6168.465185929942,38825793.38477882,9622692.855465818,38099977.72977044,matrix_tension,True,8,top
24948.824996122778,139560.88066501386,148571.689225857,4963.008705613922,11458.83975043957,76986.1902751352,1927.365056839825,4519574.480181581,1506498.9750221972,3724213.47309367,matrix_tension,True,2,bottom
19810.207050820853,-1538.25862343216,18670.488807043654,-49566.72809344985,-94543.5672232441,-123295.95922053723,2517.0236943488817,8783177.36467816,3952613.7916640565,8748595.401480163,matrix_tension,True,1,bottom
-64589.6440861145,-41286.593920558546,272796.6284697509,155743.55207162135,-135479.5534517135,48963.5389718272,8651.927173951968,78783775.66778414,21006660.99818113,76339369.26723602,matrix_tension,True,1,bottom
-51578.977598264115,33615.06014780943,112307.57536569398,-61535.97398628225,192965.37405381148,-207129.0308597384,14089.341412093574,215208408.653703,63784383.444978215,214084698.71838227,matrix_tension,True,8,top
226889.11906488537,19484.497135750193,125181.53203983311,7993.664635316741,50726.92624301339,-4959.625537858181,2709.1463837385754,7439279.388378472,1848971.6675038438,7413474.356726024,matrix_tension,True,8,top
-63550.63327956487,35082.15705407744,-69425.20813965089,54264.680571288474,88482.66068914846,29883.039238128353,3857.0920120571104,14889614.133152656,3586125.328984289,14889828.30966676,matrix_tension,True,8,top
66493.69338715727,-45212.26376597877,137032.37986599558,-268251.51549291046,-49157.412921338204,-291600.175054757,6466.8145803157295,55675299.26844491,22973270.688675467,43058269.35904666,matrix_tension,True,7,top
